id,name,weight
513,realtorjmc,1
514,LoyaltyTrump,1
515,lallo869,8
516,krich417333,1
517,ammexic,1
518,1947mama,1
519,darnette10,1
520,jdh_1956,1
521,nousgnostic,1
522,ForbidenSpeech,1
523,edhunter54,1
524,gam9111,1
525,TNROnline,1
526,Fear_Monger,1
527,WriteNigel,1
528,Cassidy_Pen,1
529,Fakeolizer,1
530,beckymote,1
531,ronaero,1
532,tpb,1
533,luv18wheels,1
534,nberkus,1
535,leighmgaetjens,1
536,mindplexmedia,1
537,terrytfelker38,1
538,mom25tn,1
539,edwinborges11,1
540,e1ais,1
541,Briefing__Room,1
542,shaoneecom12,1
543,Nuts_Deep_,1
544,theunchainedgod,1
545,crkienast,2
546,SarniaToday,1
547,mnwildthing,1
548,stevenminton,1
549,freedomtruthof1,1
550,Imconservative2,3
551,AnnYaggie,1
552,Voice4silenced,1
553,KeithDShrock,2
554,JohnBec30233630,1
555,SupergoofNZ,1
556,rolbev,1
557,CreoleRightGirl,1
558,frank_illes,1
559,BKK918,1
560,rae_etrigan1701,1
561,calvinmotes,1
562,DavidLWhite1,1
563,daeshhun,1
564,DailyRotoSharks,1
565,Kitty_Cat_Momma,1
566,NC_Renegade,1
567,refrigman1,1
568,WildHorses76,1
569,SBenson072,1
570,NCSovereignty,1
571,STONEWALL_NATIO,1
572,DoctorLile,1
573,glassfaces,1
574,larks237,1
575,kissablekaren61,1
576,Stoccado,1
577,cherryone,1
578,JeffreyFerris,1
579,papad48,1
580,DavidKatalenas,1
581,cathiekelley,1
582,hillx123,1
583,dewberrycbd,1
584,DeeC748,1
585,DarrRenee,1
586,darnellsmith,1
587,GRITS1954,1
588,dm0898,1
589,USPatriotLove,1
590,TammrdTammy,1
591,vinnysgreen,1
592,MTCali70,1
593,MatrixConstr,1
594,SkepNet,1
595,headlinepost,1
596,MasterLink87,1
597,mottm,1
598,sharleenandrews,1
599,webellieve1,1
600,RustyGoat,1
601,bladechangein,1
602,anton_hein,1
603,DanielisaFriend,1
604,michelleuch,1
605,MeLoveChrist,1
606,GroupBibleStudy,1
607,floridagirl717,1
608,AK_VaporCharms,2
609,yadkinfarm,1
610,AuntFannysPants,1
611,Ilidrian,1
612,donaldbroom,1
613,PittsburghREIA,1
614,46hillbilly,1
615,pearlpeche,1
616,Jantxnc,1
617,basicgirl1952,1
618,drWilda,2
619,catsokfine,1
620,rationality_age,1
621,johneebegood2,3
622,sungjado,1
623,oddities_agent,2
624,courtjestor922,1
625,Dcdied320,1
626,reginamixon,1
627,Car143FirePhoto,1
628,ophidianpilot,1
629,matris77,1
630,ReasonBurger,1
631,CurtisHebert,1
632,PositiveOne10,1
633,TheWholeDamnNet,1
634,DougWeikel,1
635,zamboni5454,1
636,car_done,1
637,Plowboy1232,1
638,BossSquirrel72,1
639,MicheleSchiesse,1
640,afed3352,1
641,nevergiveup2004,1
642,mel4449,1
643,dujaa74,1
644,lindajjacobs,1
645,45KAG2020,1
646,NewsCommenter,1
647,_IamAnita_D,1
648,dbergl60,1
649,1RuffRican,1
650,hourglassman,1
651,gregraven,1
652,osprey795,1
653,firewaterflit,1
654,bold4truth,1
655,chaszzsmith1951,1
656,fleekirony,1
657,RangerSewer,1
658,RobCashmere,1
659,mahjonggirl,1
660,Patti_Sc60,1
661,debsinger2,1
662,TexasGalWaxi,1
663,saucypatriot,1
664,wolfeyjr,1
665,007mafiawars,1
666,pamsilleman,1
667,delyju,1
668,jackieaus,1
669,MarshallRacing_,1
670,emvidal,1
671,StopTheLibCoup,1
672,jep1299,1
673,watchtowermaya,1
674,benji0ben,1
675,lrnewton1,1
676,akradarvet,1
677,LauraMarklin,1
678,seancasey680,1
679,DebraDianeParr,1
680,TeamTrumpNC,1
681,ichataway,1
682,badov49,1
683,TonysTake,1
684,Viktori10013191,1
685,PubliusNV,1
686,Reborn2008,1
687,MaryWalberg,1
688,DwbirdDee,1
689,LoriBlaney,1
690,slo129,1
691,NomadCovfefe,1
692,bruceoja,1
693,TheKittyFitz50,1
694,jillocity1952,1
695,zx77789,1
696,jralomar15,1
697,bob_hoke,1
698,LeonardWood8,1
699,CinderCalMo,1
700,njoanyork,2
701,cecki,1
702,vothelo,1
703,Nananose,1
704,caohpaca,1
705,chawawazmom,1
706,Mare27Mare,1
707,KLDUDE,1
708,TheSarg22,1
709,VannagrammyLiz,1
710,quantumpsychic,1
711,alex_golbas,1
712,NorCalCrush,1
713,gardengirl625,1
714,LTGRIGSBY,1
715,ZId3033,1
716,megw922,1
717,mrgnklly,1
718,Patmospost,1
719,DellaTolbert1,1
720,fnfray,1
721,CarolBurnett3,1
722,USVeteran2,1
723,authorFran,1
724,AmzyVic,1
725,OurRightsCount,1
726,TruthseekerAnb,1
727,SeldenGADawgs,1
728,RobertG30137594,1
729,rothfarms,1
730,RandallVRule,1
731,WineReport,1
732,CarolisaHeckard,1
733,ranchdressin,1
734,REALDANIELGLENN,1
735,ThorneColleen,1
736,fearnothing23,1
737,AngieC43,1
738,BlueSeaSailing,1
739,SuzetteParfait,1
740,MCaff4spd,1
741,2ndfor1st,1
742,OSINT220,1
743,NetworksManager,1
744,truth_american,1
745,Veritas432,1
746,miraculin,1
747,SC_Gracie,1
748,dixiegalpatriot,1
749,travis553,1
750,tankknarf,1
751,chemgirl66,1
752,3GoMigos,2
753,usacsmret,1
754,richcash8,1
755,sharbycreek,1
756,Emberr,1
757,MsDianaFrances,1
758,MARREROWHODAT,1
759,nativetexan27,1
760,1rstarr1,1
761,raynman123,1
762,auntiejul,1
763,cupcardriver,1
764,Leigh1291,1
765,lusciouslindaw,2
766,Mandemic007,1
767,Ripchord12,1
768,ibangel,1
769,saberback,1
770,raellis47,1
771,ojibwe1974,1
772,restless94110,1
773,rnsr4u,1
774,WaltEagles24,1
775,TalkShowAmerica,1
776,nomoreamnesty,1
777,beth_mulvihill,1
778,A_D_Seri,1
779,RobertBeene1,1
780,Datxsaw,1
781,JamesS020770,1
782,_Mississipp1_,1
783,nonsumdignus,1
784,commandtech,1
785,EasyEarle24,1
786,2bfreegirl,1
787,DonTyndall,1
788,DebraCassiero,1
789,John3_and_16,1
790,littlebitgood,1
791,ThorsenTavern,1
792,sbustosFL,1
793,davemasters,1
794,politicsnews11,1
795,TheDCbubble,1
796,AmericaHotNews,1
797,realTrendingNew,1
798,politicznewz,1
799,Breaking_1News,1
800,LeonoraInterssa,1
801,HealthNewanced,1
802,PansehTsewole1,1
803,cahulaan,1
804,RobertMouton4,1
805,tweetpoliticsEU,1
806,politico,1
807,EugenioRainMan,1
