id,name,weight
503,kmannbear,1
504,albeyder1,1
505,RogersEalbert24,1
506,Cadmium77,1
507,hotUSAmom,1
508,dglend,1
509,MentorMe411,1
510,Ruthie19,1
511,TheBeowulf,1
512,Akwhavasu1,1
513,Kimdeerhunter,1
514,GeorgeBleick,1
515,SharronPettis,1
516,Hasele,1
517,theospark,1
518,rehfuss_dennis,1
519,tessyto,1
520,KittyCatGranny,1
521,vienna_1683,1
522,beckybower651,1
523,tom_tsetung,1
524,PaulStout10,1
525,Citizenpundit12,2
526,realtorjmc,1
527,LoyaltyTrump,1
528,lallo869,8
529,krich417333,2
530,ammexic,1
531,1947mama,1
532,darnette10,1
533,jdh_1956,1
534,nousgnostic,1
535,ForbidenSpeech,1
536,edhunter54,1
537,gam9111,1
538,TNROnline,1
539,Fear_Monger,3
540,WriteNigel,1
541,Cassidy_Pen,1
542,Fakeolizer,1
543,beckymote,1
544,ronaero,1
545,tpb,1
546,luv18wheels,1
547,nberkus,1
548,leighmgaetjens,1
549,mindplexmedia,1
550,terrytfelker38,1
551,mom25tn,1
552,edwinborges11,1
553,e1ais,1
554,Briefing__Room,1
555,shaoneecom12,1
556,Nuts_Deep_,1
557,theunchainedgod,1
558,crkienast,1
559,SarniaToday,3
560,mnwildthing,1
561,stevenminton,1
562,freedomtruthof1,1
563,Imconservative2,3
564,AnnYaggie,1
565,Voice4silenced,1
566,KeithDShrock,2
567,JohnBec30233630,1
568,SupergoofNZ,1
569,rolbev,1
570,CreoleRightGirl,1
571,frank_illes,1
572,BKK918,1
573,rae_etrigan1701,1
574,calvinmotes,1
575,DavidLWhite1,1
576,daeshhun,1
577,DailyRotoSharks,1
578,Kitty_Cat_Momma,1
579,NC_Renegade,1
580,refrigman1,1
581,WildHorses76,1
582,SBenson072,1
583,NCSovereignty,1
584,STONEWALL_NATIO,1
585,DoctorLile,1
586,glassfaces,1
587,larks237,1
588,kissablekaren61,1
589,Stoccado,1
590,cherryone,1
591,JeffreyFerris,1
592,papad48,1
593,DavidKatalenas,1
594,cathiekelley,1
595,hillx123,1
596,dewberrycbd,1
597,DeeC748,1
598,DarrRenee,2
599,darnellsmith,1
600,GRITS1954,1
601,dm0898,1
602,USPatriotLove,1
603,TammrdTammy,1
604,vinnysgreen,2
605,MTCali70,2
606,MatrixConstr,1
607,SkepNet,2
608,headlinepost,2
609,MasterLink87,1
610,PositiveOne10,1
611,TheWholeDamnNet,1
612,DougWeikel,1
613,zamboni5454,2
614,car_done,1
615,Plowboy1232,1
616,BossSquirrel72,1
617,MicheleSchiesse,1
618,afed3352,1
619,nevergiveup2004,1
620,mel4449,1
621,dujaa74,1
622,lindajjacobs,1
623,45KAG2020,1
624,NewsCommenter,1
625,_IamAnita_D,1
626,dbergl60,1
627,1RuffRican,1
628,hourglassman,1
629,gregraven,1
630,osprey795,1
631,firewaterflit,1
632,bold4truth,1
633,chaszzsmith1951,1
634,fleekirony,1
635,RangerSewer,1
636,RobCashmere,1
637,mahjonggirl,1
638,Patti_Sc60,1
639,debsinger2,1
640,TexasGalWaxi,1
641,saucypatriot,1
642,wolfeyjr,1
643,007mafiawars,1
644,pamsilleman,1
645,delyju,1
646,jackieaus,1
647,MarshallRacing_,1
648,emvidal,1
649,StopTheLibCoup,1
650,jep1299,1
651,watchtowermaya,2
652,benji0ben,1
653,lrnewton1,1
654,akradarvet,1
655,LauraMarklin,1
656,seancasey680,1
657,DebraDianeParr,1
658,TeamTrumpNC,1
659,ichataway,1
660,badov49,1
661,TonysTake,1
662,Viktori10013191,1
663,PubliusNV,1
664,Reborn2008,1
665,MaryWalberg,1
666,DwbirdDee,1
667,LoriBlaney,1
668,NomadCovfefe,2
669,bruceoja,1
670,TheKittyFitz50,1
671,jillocity1952,1
672,zx77789,1
673,jralomar15,1
674,bob_hoke,1
675,LeonardWood8,1
676,CinderCalMo,1
677,njoanyork,2
678,cecki,1
679,vothelo,1
680,Nananose,1
681,caohpaca,1
682,chawawazmom,2
683,Mare27Mare,1
684,KLDUDE,1
685,TheSarg22,1
686,VannagrammyLiz,1
687,quantumpsychic,2
688,alex_golbas,1
689,NorCalCrush,1
690,gardengirl625,1
691,LTGRIGSBY,1
692,ZId3033,1
693,megw922,1
694,mrgnklly,1
695,Patmospost,1
696,DellaTolbert1,1
697,fnfray,1
698,CarolBurnett3,1
699,USVeteran2,2
700,authorFran,1
701,AmzyVic,1
702,OurRightsCount,1
703,TruthseekerAnb,2
704,SeldenGADawgs,1
705,RobertG30137594,1
706,rothfarms,1
707,RandallVRule,1
708,WineReport,1
709,CarolisaHeckard,1
710,ranchdressin,1
711,REALDANIELGLENN,1
712,ThorneColleen,1
713,fearnothing23,1
714,AngieC43,1
715,BlueSeaSailing,1
716,SuzetteParfait,1
717,MCaff4spd,1
718,2ndfor1st,1
719,OSINT220,1
720,NetworksManager,1
721,truth_american,1
722,Veritas432,1
723,miraculin,1
724,SC_Gracie,1
725,dixiegalpatriot,1
726,travis553,1
727,tankknarf,1
728,chemgirl66,1
729,3GoMigos,2
730,usacsmret,1
731,richcash8,1
732,sharbycreek,1
733,Emberr,1
734,MsDianaFrances,1
735,MARREROWHODAT,1
736,nativetexan27,1
737,1rstarr1,1
738,raynman123,1
739,auntiejul,1
740,cupcardriver,1
741,Leigh1291,1
742,lusciouslindaw,3
743,Mandemic007,1
744,Ripchord12,1
745,ibangel,1
746,saberback,1
747,raellis47,1
748,ojibwe1974,1
749,restless94110,1
750,rnsr4u,1
751,WaltEagles24,1
752,TalkShowAmerica,1
753,nomoreamnesty,1
754,beth_mulvihill,1
755,A_D_Seri,1
756,RobertBeene1,1
757,Datxsaw,1
758,JamesS020770,1
759,_Mississipp1_,1
760,nonsumdignus,1
761,commandtech,2
762,EasyEarle24,1
763,2bfreegirl,1
764,DonTyndall,1
765,DebraCassiero,1
766,John3_and_16,1
767,littlebitgood,1
768,ThorsenTavern,1
769,sbustosFL,1
770,davemasters,1
771,politicsnews11,1
772,TheDCbubble,1
773,AmericaHotNews,1
774,realTrendingNew,1
775,politicznewz,1
776,Breaking_1News,1
777,LeonoraInterssa,1
778,HealthNewanced,1
779,PansehTsewole1,1
780,cahulaan,1
781,RobertMouton4,1
782,tweetpoliticsEU,1
783,politico,1
784,EugenioRainMan,1
785,Newoftheworldd,1
786,SocialCurrentcy,1
787,TomFlowers,1
788,POLITICOEurope,1
789,AsaFlynn_1984,1
790,ECONEWSN1,2
791,asier_guerrero,1
792,RedTRaccoon,1
793,Staircase2,1
794,londiloveu,1
795,USGovReport,1
796,ridewithmeobx,1
797,wbeebe4,1
798,jmassee,1
799,RittNancy,1
800,danhomick,1
801,markrehbein1,1
802,YourNewsEdge,1
803,D__TrumpNews,1
804,DeimosEskizo,1
805,Anthonyr323,1
806,trumpwatchapp,1
807,truth2beingfit,1
808,leesmileyman,1
809,SayNoToFakePrez,1
810,elmowuxx5,1
811,tyronewitten,1
812,SMARTOSLB,1
813,nohumanillegal,1
814,CHSGovPol,1
815,PKanagaratnam,1
816,WellDBell,1
817,TaraAngelique1,1
818,abbie_b_elliott,1
819,sum1star,1
820,CMMatthiessen,1
821,motai69,1
822,MarthaBucaram,1
823,YulREspinosa,1
824,_newarthill,1
825,g_mccray,1
826,richryan55,1
827,plummer4,1
828,acadiansiren71,2
829,Catholic_Radio,1
830,Israeltwits,1
831,Gyangs,1
832,BadBlueNews,3
833,TriggerJunkie,1
834,RemoveRINOs2018,2
835,jencambra,1
836,ja1965moore,1
837,mattinicusrock,1
838,TonyPsofimis,1
839,Shampoo_B0y,1
840,020644,1
841,EasyEarl,2
842,UPGuy3,2
843,AB_CutRock,1
844,PauljePaul,1
845,NCHornet,1
846,KSTAR102TALK,1
847,WatchnDaWorld,1
848,moonsplash2,1
849,Yonadav7,1
850,TomaszNowacki69,1
851,hamilton_peter,1
852,Chidiukwu_com,2
853,George_Vasil,3
854,John832TheTruth,2
855,freemedialive,2
856,ronoralice,1
857,AbreuDave,1
858,sacitizen10,1
859,DTeambanning,4
860,PocoPainting,1
861,ConservPost,1
862,dustyben18,1
863,SummitOne,1
864,DemetrionW,1
865,HernanJSanchez,1
866,eabaguioro,1
867,rajuparulekar,1
868,541T0K0U,1
869,Freedom_Speaks_,2
870,amici09,1
871,rajpadma,1
872,hothousecreek,1
873,krauspaulusa,1
874,afnphotography1,1
875,alvin51elmore,1
876,gemstoneservice,1
877,starfysh44,1
878,wbacon_111,1
879,inetang,1
880,elvonrichard,1
881,doulos4,1
882,Pliankni95,1
883,MotherEarthOil,1
884,CoachJDaley,1
885,joker951159,1
886,1westtexasguy,1
887,DanielM1010,2
888,jjh04,1
889,thegopmom,1
890,123smg,1
891,bardeguezc,1
892,Debarre,4
893,HeyJudeOregon,1
894,gatubelaLA,1
895,wavehit,3
896,vegbaby56,1
897,GeopolIntel,1
898,Lynn_onward,1
899,SassyPatriot69,1
900,pbgamez,1
901,azmike2001,3
902,TheMoeYouKnow,1
903,dksdds,1
904,EDFLEUR1,1
905,VixxenRhonda,1
906,RNRPennsylvania,1
907,JFS5150,1
908,INTELBRIEF,2
909,Freeman2545Paul,1
910,carquette,1
911,fogwatch,1
912,TMD67,1
913,dalcheeni,1
914,wabbitat,1
915,murphycat2012,3
916,sailsau,1
917,fitethegoodfite,1
918,smithwessson,1
919,vishnutiwari78,1
920,Elimelech_Ring,6
921,jeremybcalloway,1
922,republicbuzz,1
923,itche2,1
924,RWSalt,1
925,troybilt71,1
926,3171956,1
927,GillensCandies,1
928,gregghoulden,1
929,callinmon,1
930,JaysPrism,1
931,constitution71,1
932,bdillon47,1
933,EileenWolf,1
934,briankellykelly,1
935,HAYESRANDOLPH,1
936,bsmith8643,1
937,Im_ur_hklbry,1
938,rickcowan68,1
939,LenoraArthur,1
940,politicshungary,1
941,sizzlesride,1
942,mmike2092,1
943,AirobecSalon,1
944,DeeDvore,1
945,WhicketW,1
946,BackwoodsGOP,1
947,Michael07369542,1
948,tdw1116,1
949,JackCombs2,1
950,civilwarcometh,1
951,MarkDEllis1,1
952,JEP1459,3
953,pearlpeche,1
954,Masada2013,1
955,mzee26,1
956,PUSSIFIED_USA,1
957,KramersGamers,1
958,kramerradio,1
959,jamesclementb3,1
960,GinnyHoward,1
961,SuperHappyFunTV,1
962,thmsm74,1
963,AspartameBoy,1
964,TrumpedAmerica,2
965,BeachBlueRalph,1
966,GOPLADYAMY,2
967,brwaldbaum,1
